#"%Röttgers, R. McKee, D, and Utschig, C, ""Temperature and salinity correction coefficients for light absorption by water in the visible to infrared spectral region"", Opt. Express, 2014",,,,,
#% Data of the salinity correction coefficient for the light absorption coefficent of water, PsiS, given for a NaCl solution and artificial seawater (ASW),,,,,
#"% s.d., standard deviation, nan, not determined",,,,,
#% remark: data of Fig. 8, for ASW <500 nm not reliable due to contamination problems, data combined with those calculated from reference [21], see paper for details,,,,,
#wavelength (nm),wavenumber (1/cm),PsiS (1/m*L/g) NaCl,s.d. (1/m*L/g) NaCl,PsiS (1/m*L/g) ASW,s.d. (1/m*L/g) ASW
496,20161.29,-2.65E-07,1.21E-06,5.00E-06,4.40E-06
498,20080.32,4.22E-07,1.13E-06,4.54E-06,3.92E-06
500,20000,6.14E-07,9.77E-07,4.74E-06,4.04E-06
502,19920.32,6.38E-07,1.39E-06,4.95E-06,4.49E-06
504,19841.27,1.85E-06,9.76E-07,4.60E-06,4.42E-06
506,19762.85,2.14E-06,6.64E-07,4.10E-06,4.03E-06
508,19685.04,2.37E-06,1.18E-06,3.83E-06,4.47E-06
510,19607.84,1.24E-06,1.20E-06,1.75E-06,3.83E-06
512,19531.25,2.50E-06,8.29E-07,2.31E-06,4.48E-06
514,19455.25,6.62E-06,1.28E-06,5.76E-06,3.87E-06
516,19379.84,1.03E-05,1.67E-06,9.58E-06,3.95E-06
518,19305.02,1.18E-05,1.70E-06,1.15E-05,4.53E-06
520,19230.77,1.29E-05,1.29E-06,1.33E-05,4.48E-06
522,19157.09,1.31E-05,6.98E-07,1.36E-05,4.12E-06
524,19083.97,1.32E-05,8.35E-07,1.42E-05,4.06E-06
526,19011.41,1.33E-05,1.19E-06,1.45E-05,4.59E-06
528,18939.39,1.26E-05,9.15E-07,1.53E-05,4.21E-06
530,18867.92,1.22E-05,1.37E-06,1.49E-05,4.42E-06
532,18796.99,1.20E-05,1.04E-06,1.47E-05,3.96E-06
534,18726.59,1.24E-05,1.33E-06,1.51E-05,4.47E-06
536,18656.72,1.17E-05,1.09E-06,1.45E-05,4.29E-06
538,18587.36,1.18E-05,1.18E-06,1.45E-05,4.04E-06
540,18518.52,1.15E-05,1.07E-06,1.47E-05,4.27E-06
542,18450.18,1.16E-05,1.95E-06,1.44E-05,4.27E-06
544,18382.35,1.16E-05,1.27E-06,1.37E-05,4.10E-06
546,18315.02,1.07E-05,1.53E-06,1.31E-05,4.27E-06
548,18248.18,1.03E-05,1.15E-06,1.19E-05,4.48E-06
550,18181.82,1.13E-05,1.07E-06,1.27E-05,3.93E-06
552,18115.94,1.28E-05,9.36E-07,1.42E-05,4.46E-06
554,18050.54,1.39E-05,1.55E-06,1.57E-05,4.67E-06
556,17985.61,1.41E-05,1.48E-06,1.60E-05,4.70E-06
558,17921.15,1.37E-05,8.38E-07,1.62E-05,4.46E-06
560,17857.14,1.27E-05,1.17E-06,1.59E-05,4.98E-06
562,17793.59,1.19E-05,1.21E-06,1.56E-05,4.58E-06
564,17730.5,1.11E-05,1.12E-06,1.54E-05,4.42E-06
566,17667.84,9.54E-06,1.27E-06,1.44E-05,4.76E-06
568,17605.63,8.19E-06,1.34E-06,1.34E-05,4.93E-06
570,17543.86,7.13E-06,1.32E-06,1.27E-05,4.42E-06
572,17482.52,5.87E-06,1.17E-06,1.13E-05,4.99E-06
574,17421.6,4.18E-06,8.37E-07,1.02E-05,4.78E-06
576,17361.11,2.93E-06,8.17E-07,8.89E-06,4.68E-06
578,17301.04,9.57E-07,5.87E-07,6.82E-06,4.38E-06
580,17241.38,-6.73E-07,9.92E-07,3.74E-06,4.93E-06
582,17182.13,-2.72E-06,4.98E-07,1.62E-06,4.96E-06
584,17123.29,-1.81E-06,7.59E-07,1.39E-06,4.66E-06
586,17064.85,-1.25E-06,1.57E-06,9.31E-07,4.75E-06
588,17006.8,4.42E-07,1.28E-06,1.21E-06,4.43E-06
590,16949.15,1.78E-06,1.68E-06,2.78E-06,5.38E-06
592,16891.89,3.14E-06,1.70E-06,2.93E-06,4.63E-06
594,16835.02,2.75E-06,6.93E-07,7.38E-07,5.36E-06
596,16778.52,-1.83E-07,3.31E-06,-5.98E-06,4.34E-06
598,16722.41,-9.05E-06,3.90E-06,-1.73E-05,5.16E-06
600,16666.67,-4.15E-06,4.01E-06,-1.62E-05,5.32E-06
602,16611.3,1.76E-05,5.24E-06,3.55E-06,7.38E-06
604,16556.29,4.62E-05,6.46E-06,3.08E-05,6.84E-06
606,16501.65,6.84E-05,5.44E-06,5.28E-05,7.11E-06
608,16447.37,8.39E-05,2.80E-06,6.89E-05,8.03E-06
610,16393.44,9.15E-05,4.60E-06,7.54E-05,7.02E-06
612,16339.87,9.45E-05,3.10E-06,8.00E-05,6.54E-06
614,16286.64,9.65E-05,4.00E-06,8.29E-05,6.42E-06
616,16233.77,9.49E-05,2.84E-06,8.37E-05,6.96E-06
618,16181.23,9.59E-05,3.96E-06,8.44E-05,7.00E-06
620,16129.03,9.35E-05,3.40E-06,8.38E-05,7.55E-06
622,16077.17,9.07E-05,2.32E-06,8.06E-05,6.76E-06
624,16025.64,8.95E-05,2.35E-06,8.15E-05,7.55E-06
626,15974.44,8.72E-05,2.94E-06,7.80E-05,7.33E-06
628,15923.57,8.46E-05,1.67E-06,7.71E-05,8.04E-06
630,15873.02,8.35E-05,2.59E-06,7.65E-05,7.95E-06
632,15822.78,8.19E-05,2.77E-06,7.55E-05,7.71E-06
634,15772.87,7.96E-05,1.26E-06,7.32E-05,8.57E-06
636,15723.27,7.89E-05,2.14E-06,7.34E-05,7.66E-06
638,15673.98,7.66E-05,2.60E-06,7.38E-05,8.27E-06
640,15625,7.26E-05,2.69E-06,7.02E-05,7.78E-06
642,15576.32,7.12E-05,3.75E-06,6.86E-05,7.72E-06
644,15527.95,6.75E-05,2.88E-06,6.65E-05,7.27E-06
646,15479.88,6.49E-05,3.35E-06,6.62E-05,7.56E-06
648,15432.1,6.19E-05,3.40E-06,6.31E-05,8.40E-06
650,15384.62,5.85E-05,2.22E-06,5.99E-05,7.67E-06
652,15337.42,5.14E-05,2.97E-06,5.35E-05,7.30E-06
654,15290.52,4.14E-05,4.18E-06,4.23E-05,8.05E-06
656,15243.9,2.88E-05,1.99E-06,2.93E-05,8.57E-06
658,15197.57,3.02E-05,1.69E-06,2.86E-05,7.11E-06
660,15151.52,4.22E-05,1.77E-06,4.07E-05,7.99E-06
662,15105.74,5.63E-05,2.56E-06,5.33E-05,8.32E-06
664,15060.24,6.40E-05,2.84E-06,6.20E-05,9.11E-06
666,15015.02,6.23E-05,2.05E-06,6.35E-05,8.60E-06
668,14970.06,6.19E-05,1.99E-06,6.39E-05,8.22E-06
670,14925.37,5.95E-05,1.57E-06,6.20E-05,6.97E-06
672,14880.95,5.17E-05,4.88E-06,5.77E-05,8.82E-06
674,14836.8,4.36E-05,2.56E-06,4.97E-05,9.21E-06
676,14792.9,3.44E-05,3.34E-06,4.21E-05,7.62E-06
678,14749.26,2.29E-05,2.85E-06,3.53E-05,1.00E-05
680,14705.88,9.45E-06,5.03E-06,2.50E-05,9.58E-06
682,14662.76,-5.53E-07,3.39E-06,1.37E-05,9.52E-06
684,14619.88,-1.17E-05,3.08E-06,3.11E-06,9.43E-06
686,14577.26,-2.49E-05,3.93E-06,-8.08E-06,9.53E-06
688,14534.88,-3.48E-05,6.10E-06,-2.04E-05,8.41E-06
690,14492.75,-5.04E-05,3.66E-06,-3.38E-05,8.51E-06
692,14450.87,-6.61E-05,4.71E-06,-4.67E-05,8.90E-06
694,14409.22,-8.15E-05,5.89E-06,-6.29E-05,8.46E-06
696,14367.82,-1.02E-04,4.79E-06,-7.76E-05,6.52E-06
698,14326.65,-1.21E-04,3.72E-06,-9.96E-05,9.93E-06
700,14285.71,-1.34E-04,5.30E-06,-1.16E-04,9.62E-06
702,14245.01,-1.46E-04,6.83E-06,-1.30E-04,9.61E-06
704,14204.55,-1.59E-04,2.07E-06,-1.39E-04,1.13E-05
706,14164.31,-1.61E-04,3.31E-06,-1.50E-04,1.35E-05
708,14124.29,-1.69E-04,1.74E-05,-1.64E-04,9.34E-06
710,14084.51,-1.80E-04,1.69E-05,-1.81E-04,1.20E-05
712,14044.94,-1.78E-04,1.78E-05,-1.81E-04,1.13E-05
714,14005.6,-1.71E-04,1.14E-05,-1.89E-04,1.00E-05
716,13966.48,-1.76E-04,8.79E-06,-1.94E-04,1.04E-05
718,13927.58,-1.59E-04,1.64E-05,-1.84E-04,1.84E-05
720,13888.89,-1.51E-04,1.67E-05,-1.84E-04,2.06E-05
722,13850.42,-1.40E-04,4.59E-05,-1.92E-04,2.10E-05
724,13812.15,-1.40E-04,2.16E-05,-2.03E-04,1.91E-05
726,13774.1,-1.43E-04,6.29E-05,-2.10E-04,4.11E-05
728,13736.26,-2.12E-04,4.47E-05,-3.06E-04,4.21E-05
730,13698.63,-3.14E-04,6.14E-05,-4.35E-04,3.71E-05
732,13661.2,-3.37E-04,6.03E-05,-4.78E-04,6.14E-05
734,13623.98,-2.35E-04,9.82E-05,-4.31E-04,4.23E-05
736,13586.96,-6.99E-05,1.06E-04,-2.75E-04,3.40E-05
738,13550.14,1.84E-04,2.41E-05,-4.77E-05,5.95E-05
740,13513.51,3.70E-04,7.52E-05,1.78E-04,2.60E-05
742,13477.09,4.96E-04,5.45E-05,2.64E-04,6.42E-05
744,13440.86,6.31E-04,6.62E-05,4.03E-04,7.40E-05
746,13404.83,7.57E-04,6.86E-05,5.33E-04,7.91E-05
748,13368.98,8.07E-04,7.06E-05,5.93E-04,6.64E-05
750,13333.33,8.62E-04,6.40E-05,6.51E-04,7.64E-05
752,13297.87,8.68E-04,7.19E-05,6.59E-04,6.35E-05
754,13262.6,8.74E-04,7.40E-05,6.74E-04,7.56E-05
756,13227.51,8.73E-04,6.40E-05,6.81E-04,6.72E-05
758,13192.61,8.63E-04,6.64E-05,6.71E-04,6.63E-05
760,13157.89,8.40E-04,6.02E-05,6.58E-04,6.32E-05
762,13123.36,7.97E-04,5.67E-05,6.21E-04,4.93E-05
764,13089.01,7.76E-04,7.24E-05,6.05E-04,6.71E-05
766,13054.83,7.42E-04,6.70E-05,5.90E-04,6.63E-05
768,13020.83,7.06E-04,6.54E-05,5.60E-04,7.55E-05
770,12987.01,6.61E-04,5.57E-05,5.28E-04,6.17E-05
772,12953.37,6.17E-04,6.70E-05,5.07E-04,7.69E-05
774,12919.9,5.72E-04,6.77E-05,4.59E-04,8.23E-05
776,12886.6,5.41E-04,7.01E-05,4.33E-04,8.08E-05
778,12853.47,4.68E-04,6.79E-05,3.98E-04,7.27E-05
780,12820.51,4.20E-04,7.76E-05,3.56E-04,6.58E-05
782,12787.72,3.36E-04,6.69E-05,2.94E-04,7.47E-05
784,12755.1,2.86E-04,6.53E-05,2.53E-04,7.60E-05
786,12722.65,2.11E-04,7.51E-05,2.01E-04,7.23E-05
788,12690.36,1.49E-04,7.69E-05,1.63E-04,7.68E-05
790,12658.23,7.84E-05,8.80E-05,1.12E-04,8.64E-05
792,12626.26,1.28E-05,7.23E-05,5.77E-05,8.31E-05
794,12594.46,-4.81E-05,8.24E-05,1.80E-05,7.08E-05
796,12562.81,-1.24E-04,8.22E-05,-4.12E-05,7.82E-05
798,12531.33,-1.79E-04,8.48E-05,-8.54E-05,7.50E-05
800,12500,-2.33E-04,7.21E-05,-1.28E-04,7.30E-05
802,12468.83,-3.01E-04,8.32E-05,-1.93E-04,7.42E-05
804,12437.81,-3.79E-04,8.51E-05,-2.47E-04,7.90E-05
806,12406.95,-4.47E-04,8.30E-05,-3.19E-04,7.69E-05
808,12376.24,-5.02E-04,8.43E-05,-3.74E-04,8.55E-05
810,12345.68,-5.61E-04,8.85E-05,-4.39E-04,9.28E-05
812,12315.27,-5.91E-04,8.38E-05,-4.68E-04,9.89E-05
814,12285.01,-6.22E-04,8.84E-05,-5.04E-04,8.45E-05
816,12254.9,-6.55E-04,8.84E-05,-5.41E-04,9.50E-05
818,12224.94,-6.87E-04,9.26E-05,-5.84E-04,9.07E-05
820,12195.12,-7.24E-04,9.78E-05,-6.22E-04,8.83E-05
822,12165.45,-7.77E-04,9.25E-05,-6.98E-04,8.39E-05
824,12135.92,-8.86E-04,1.12E-04,-8.11E-04,1.13E-04
826,12106.54,-9.96E-04,1.06E-04,-9.69E-04,9.74E-05
828,12077.29,-1.16E-03,1.15E-04,-1.17E-03,1.09E-04
830,12048.19,-1.25E-03,1.14E-04,-1.31E-03,9.99E-05
832,12019.23,-1.14E-03,1.16E-04,-1.24E-03,1.30E-04
834,11990.41,-8.54E-04,1.08E-04,-9.90E-04,1.29E-04
836,11961.72,-5.47E-04,1.15E-04,-6.96E-04,1.08E-04
838,11933.17,-2.84E-04,1.17E-04,-4.42E-04,1.10E-04
840,11904.76,-7.57E-05,9.88E-05,-2.44E-04,9.94E-05
842,11876.48,3.35E-05,7.83E-05,-1.21E-04,1.11E-04
844,11848.34,1.13E-04,6.40E-05,-2.74E-05,8.69E-05
846,11820.33,1.51E-04,7.90E-05,4.81E-06,9.96E-05
848,11792.45,1.49E-04,9.50E-05,3.29E-05,8.89E-05
850,11764.71,1.37E-04,5.39E-05,3.85E-05,9.46E-05
852,11737.09,1.22E-04,4.23E-05,2.90E-05,9.07E-05
854,11709.6,9.96E-05,3.92E-05,1.91E-05,9.17E-05
856,11682.24,5.15E-05,5.90E-05,7.13E-07,9.36E-05
858,11655.01,-3.81E-05,4.99E-05,-7.62E-05,4.59E-05
860,11627.91,-1.33E-04,9.64E-05,-2.03E-04,9.41E-05
862,11600.93,-2.52E-04,2.43E-04,-3.72E-04,9.02E-05
864,11574.07,-3.68E-04,2.83E-04,-5.18E-04,1.37E-04
866,11547.34,-5.04E-04,2.40E-04,-6.06E-04,1.72E-04
868,11520.74,-3.91E-04,2.25E-04,-4.74E-04,1.17E-04
870,11494.25,-7.42E-04,2.53E-04,-7.91E-04,1.58E-04
872,11467.89,-9.70E-04,2.44E-04,-1.02E-03,1.16E-04
874,11441.65,-1.08E-03,2.50E-04,-1.10E-03,1.45E-04
876,11415.53,-1.27E-03,2.40E-04,-1.31E-03,1.43E-04
878,11389.52,-1.42E-03,2.77E-04,-1.42E-03,1.26E-04
880,11363.64,-1.63E-03,2.19E-04,-1.63E-03,1.80E-04
882,11337.87,-1.72E-03,2.65E-04,-1.64E-03,1.32E-04
884,11312.22,-1.97E-03,2.50E-04,-1.90E-03,1.38E-04
886,11286.68,-2.21E-03,2.48E-04,-2.09E-03,1.12E-04
888,11261.26,-1.98E-03,2.46E-04,-1.87E-03,1.11E-04
890,11235.96,-2.50E-03,2.28E-04,-2.24E-03,1.62E-04
892,11210.76,-2.72E-03,2.73E-04,-2.47E-03,1.26E-04
894,11185.68,-2.48E-03,2.44E-04,-2.23E-03,1.32E-04
896,11160.71,-2.76E-03,2.28E-04,-2.49E-03,1.61E-04
898,11135.86,-2.95E-03,2.90E-04,-2.63E-03,1.10E-04
900,11111.11,-2.71E-03,2.40E-04,-2.50E-03,1.65E-04
902,11086.47,-3.11E-03,2.56E-04,-3.12E-03,1.46E-04
904,11061.95,-2.96E-03,2.27E-04,-2.73E-03,1.48E-04
906,11037.53,-3.16E-03,2.89E-04,-2.93E-03,1.09E-04
908,11013.22,-2.83E-03,2.53E-04,-2.66E-03,1.43E-04
910,10989.01,-3.10E-03,2.45E-04,-2.91E-03,1.15E-04
912,10964.91,-2.94E-03,2.48E-04,-2.74E-03,1.49E-04
914,10940.92,-3.13E-03,2.39E-04,-3.22E-03,1.23E-04
916,10917.03,-3.18E-03,2.37E-04,-2.94E-03,1.18E-04
918,10893.25,-3.22E-03,2.67E-04,-3.11E-03,1.48E-04
920,10869.57,-3.40E-03,2.39E-04,-3.43E-03,1.45E-04
922,10845.99,-3.34E-03,2.57E-04,-3.53E-03,1.22E-04
924,10822.51,-4.14E-03,2.64E-04,-4.31E-03,1.82E-04
926,10799.14,-3.94E-03,2.42E-04,-4.08E-03,1.40E-04
928,10775.86,-4.17E-03,2.47E-04,-4.90E-03,1.87E-04
930,10752.69,-4.47E-03,2.46E-04,-4.74E-03,9.36E-05
932,10729.61,-4.35E-03,2.51E-04,-5.19E-03,1.74E-04
934,10706.64,-4.46E-03,2.55E-04,-5.65E-03,1.77E-04
936,10683.76,-4.55E-03,2.23E-04,-5.61E-03,1.58E-04
938,10660.98,-4.60E-03,2.31E-04,-6.11E-03,1.56E-04
940,10638.3,-4.75E-03,2.50E-04,-6.12E-03,1.31E-04
942,10615.71,-4.98E-03,2.50E-04,-6.68E-03,1.85E-04
944,10593.22,-5.78E-03,2.28E-04,-7.50E-03,2.18E-04
946,10570.82,-6.65E-03,2.58E-04,-8.77E-03,2.46E-04
948,10548.52,-8.42E-03,2.80E-04,-1.05E-02,2.71E-04
950,10526.32,-9.98E-03,2.81E-04,-1.24E-02,2.51E-04
952,10504.2,-1.15E-02,2.68E-04,-1.44E-02,2.89E-04
954,10482.18,-1.27E-02,2.71E-04,-1.59E-02,2.32E-04
956,10460.25,-1.21E-02,3.01E-04,-1.55E-02,1.53E-04
958,10438.41,-1.00E-02,3.57E-04,-1.41E-02,2.23E-04
960,10416.67,-7.49E-03,3.90E-04,-1.17E-02,3.03E-04
962,10395.01,-3.76E-03,4.62E-04,-8.14E-03,3.41E-04
964,10373.44,-1.05E-03,3.31E-04,-5.20E-03,2.93E-04
966,10351.97,1.43E-03,3.41E-04,-2.99E-03,2.24E-04
968,10330.58,3.13E-03,2.84E-04,-1.63E-03,2.11E-04
970,10309.28,4.27E-03,2.63E-04,-1.13E-04,1.34E-04
972,10288.07,4.91E-03,2.68E-04,9.03E-04,1.52E-04
974,10266.94,5.48E-03,2.23E-04,1.20E-03,1.26E-04
976,10245.9,5.82E-03,2.08E-04,1.61E-03,1.51E-04
978,10224.95,5.99E-03,2.29E-04,2.14E-03,1.29E-04
980,10204.08,5.86E-03,1.83E-04,2.08E-03,1.04E-04
982,10183.3,5.54E-03,2.27E-04,2.29E-03,1.42E-04
984,10162.6,5.23E-03,2.42E-04,2.30E-03,1.30E-04
986,10141.99,4.61E-03,2.47E-04,1.51E-03,1.35E-04
988,10121.46,3.99E-03,2.13E-04,1.10E-03,1.64E-04
990,10101.01,2.62E-03,2.22E-04,2.84E-04,1.42E-04
992,10080.65,2.07E-03,2.59E-04,-2.13E-04,1.65E-04
994,10060.36,1.00E-03,2.77E-04,-1.06E-03,1.14E-04
996,10040.16,-3.16E-04,2.93E-04,-2.06E-03,1.85E-04
998,10020.04,-1.26E-03,2.56E-04,-2.64E-03,1.37E-04
1000,10000,-2.57E-03,2.67E-04,-3.47E-03,1.99E-04
1002,9980.04,-3.74E-03,2.50E-04,-3.97E-03,1.75E-04
1004,9960.16,-4.76E-03,2.79E-04,-5.30E-03,1.45E-04
1006,9940.36,-5.63E-03,2.47E-04,-5.49E-03,1.35E-04
1008,9920.63,-6.88E-03,2.72E-04,-6.28E-03,1.65E-04
1010,9900.99,-7.68E-03,3.08E-04,-7.22E-03,1.54E-04
1012,9881.42,-8.35E-03,2.41E-04,-7.30E-03,1.67E-04
1014,9861.93,-9.35E-03,2.96E-04,-8.25E-03,1.68E-04
1016,9842.52,-1.01E-02,2.82E-04,-8.60E-03,1.27E-04
1018,9823.18,-1.05E-02,2.82E-04,-8.74E-03,1.29E-04
1020,9803.92,-1.11E-02,2.47E-04,-9.60E-03,2.08E-04
1022,9784.74,-1.19E-02,2.46E-04,-9.60E-03,2.15E-04
1024,9765.63,-1.19E-02,2.99E-04,-9.85E-03,1.44E-04
1026,9746.59,-1.25E-02,3.16E-04,-1.02E-02,5.17E-05
1028,9727.63,-1.21E-02,2.73E-04,-9.56E-03,1.59E-04
1030,9708.74,-1.25E-02,2.68E-04,-9.89E-03,1.25E-04
1032,9689.92,-1.25E-02,2.95E-04,-9.57E-03,1.87E-04
1034,9671.18,-1.22E-02,2.85E-04,-9.58E-03,1.58E-04
1036,9652.51,-1.21E-02,2.74E-04,-9.23E-03,1.50E-04
1038,9633.91,-1.22E-02,3.04E-04,-9.27E-03,1.17E-04
1040,9615.38,-1.17E-02,2.97E-04,-8.85E-03,1.69E-04
1042,9596.93,-1.13E-02,2.32E-04,-8.20E-03,2.01E-04
1044,9578.54,-1.09E-02,2.81E-04,-8.32E-03,1.70E-04
1046,9560.23,-1.05E-02,2.16E-04,-7.68E-03,1.84E-04
1048,9541.98,-1.03E-02,2.29E-04,-7.38E-03,1.83E-04
1050,9523.81,-9.89E-03,3.14E-04,-7.21E-03,1.91E-04
1052,9505.7,-8.97E-03,2.62E-03,-6.35E-03,1.65E-03
1054,9487.67,-8.78E-03,2.62E-03,-6.21E-03,1.74E-03
1056,9469.7,-8.63E-03,2.58E-03,-6.00E-03,1.74E-03
1058,9451.8,-7.78E-03,2.56E-03,-5.38E-03,1.69E-03
1060,9433.96,-7.73E-03,2.65E-03,-5.27E-03,1.73E-03
1062,9416.2,-7.49E-03,2.58E-03,-5.12E-03,1.85E-03
1064,9398.5,-7.15E-03,2.53E-03,-4.85E-03,1.80E-03
1066,9380.86,-7.15E-03,2.55E-03,-4.80E-03,1.69E-03
1068,9363.3,-6.31E-03,2.68E-03,-4.35E-03,1.64E-03
1070,9345.79,-6.31E-03,2.48E-03,-4.34E-03,1.74E-03
1072,9328.36,-6.52E-03,2.62E-03,-4.39E-03,1.76E-03
1074,9310.99,-6.22E-03,2.54E-03,-4.26E-03,1.70E-03
1076,9293.68,-6.17E-03,2.76E-03,-4.36E-03,1.79E-03
1078,9276.44,-5.86E-03,2.59E-03,-4.00E-03,1.81E-03
1080,9259.26,-6.04E-03,2.69E-03,-4.27E-03,1.70E-03
1082,9242.14,-6.11E-03,2.48E-03,-4.36E-03,1.64E-03
1084,9225.09,-6.39E-03,2.61E-03,-4.86E-03,1.72E-03
1086,9208.1,-6.23E-03,2.60E-03,-4.56E-03,1.82E-03
1088,9191.18,-6.27E-03,2.62E-03,-4.47E-03,1.81E-03
1090,9174.31,-6.22E-03,2.54E-03,-4.64E-03,1.66E-03
1092,9157.51,-7.02E-03,2.60E-03,-5.44E-03,1.79E-03
1094,9140.77,-7.04E-03,2.62E-03,-5.76E-03,1.62E-03
1096,9124.09,-6.88E-03,2.59E-03,-5.69E-03,1.68E-03
1098,9107.47,-7.17E-03,2.65E-03,-6.10E-03,1.64E-03
1100,9090.91,-7.18E-03,2.74E-03,-6.22E-03,1.81E-03
1102,9074.41,-7.34E-03,2.64E-03,-6.37E-03,1.66E-03
1104,9057.97,-7.11E-03,2.62E-03,-6.35E-03,1.71E-03
1106,9041.59,-7.51E-03,2.70E-03,-6.52E-03,1.73E-03
1108,9025.27,-7.50E-03,2.45E-03,-6.55E-03,1.71E-03
1110,9009.01,-7.29E-03,2.64E-03,-6.36E-03,1.68E-03
1112,8992.81,-6.90E-03,2.62E-03,-6.02E-03,1.69E-03
1114,8976.66,-7.05E-03,2.65E-03,-6.49E-03,1.82E-03
1116,8960.57,-7.37E-03,2.61E-03,-6.74E-03,1.70E-03
1118,8944.54,-7.49E-03,2.60E-03,-6.97E-03,1.79E-03
1120,8928.57,-7.85E-03,2.65E-03,-7.21E-03,1.80E-03
1122,8912.66,-8.10E-03,2.67E-03,-7.87E-03,1.76E-03
1124,8896.8,-9.22E-03,2.66E-03,-9.15E-03,1.62E-03
1126,8880.99,-1.04E-02,2.73E-03,-1.07E-02,1.68E-03
1128,8865.25,-1.22E-02,2.58E-03,-1.26E-02,1.70E-03
1130,8849.56,-1.44E-02,2.72E-03,-1.52E-02,1.62E-03
1132,8833.92,-1.67E-02,2.76E-03,-1.83E-02,1.58E-03
1134,8818.34,-2.11E-02,2.67E-03,-2.31E-02,1.65E-03
